,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0,Business and administration,International Business,AC120,209,,,,209,,280,8,American College,,,,,,,,,,,
1,Humanities (except languages),Liberal Arts,AC137,252,,,,252,,270,8,American College,,,,,,,,,,,
2,Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
3,Arts,Graphic Design and Moving Image Design (portfolio),AD102,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
4,Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
5,Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
6,Arts,Fine Art (portfolio),AD204,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
7,Arts,Fashion Design (portfolio),AD211,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
8,Arts,Product Design (portfolio),AD212,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
9,Arts,Visual Culture,AD215,377,,320,,320,,389,8,National College of Art and Design,,,,,,,,,,,
10,Arts,Illustration (portfolio),AD217,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
11,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
12,Information and Communication Technologies (ICTs),Software Design,AL600,AQA,,,,104,,279,6,Athlone Institute of Technology,,,,,,,,,,,
13,Engineering and engineering trades,Computer Engineering,AL601,AQA,,219,,112,,192,6,Athlone Institute of Technology,,avp,v,,,,,,,,
14,Engineering and engineering trades,Mechanical Engineering,AL602,AQA,,,,260,,424,6,Athlone Institute of Technology,,,,,,,,,,,
15,Architecture and construction,Civil Engineering,AL604,AQA,,AQA,,AQA,,244,6,Athlone Institute of Technology,,,,,,,,,,,
16,Engineering and engineering trades,Music and Instrument Technology,AL605,AQA,,AQA,,154,,306,6,Athlone Institute of Technology,,avp,,,,,,,,,
17,Health,Pharmacy Technician,AL630,295,,,,295,,379,6,Athlone Institute of Technology,,,,,,,,,,,
18,Health,Dental Nursing,AL631,300,,298,,298,,388,6,Athlone Institute of Technology,,,,,,,,,,,
19,Biological and related sciences,Applied Science,AL632,234,,,,234,,434,6,Athlone Institute of Technology,,,,,,,,,,,
20,Business and administration,Business,AL650,207,,,,207,,326,6,Athlone Institute of Technology,,,,,,,,,,,
21,Personal services,Culinary Arts,AL660,AQA,,AQA,,112,,270,6,Athlone Institute of Technology,,avp,,,,,,,,,
22,Personal services,Bar Supervision,AL661,AQA,,AQA,,101,,241,6,Athlone Institute of Technology,,avp,v,,,,,,,,
23,Personal services,Business (Sport and Recreation),AL663,AQA,,AQA,,120,,262,6,Athlone Institute of Technology,,avp,,,,,,,,,
24,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL701,216,,,,216,,337,7,Athlone Institute of Technology,,,,,,,,,,,
25,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL702,214,,,,214,,338,7,Athlone Institute of Technology,,,,,,,,,,,
26,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL703,216,,,,224,,337,7,Athlone Institute of Technology,,,,,,,,,,,
27,Information and Communication Technologies (ICTs),Computer Engineering,AL704,204,,,,204,,403,7,Athlone Institute of Technology,,,,,,,,,,,
28,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL705,216,,,,216,,337,7,Athlone Institute of Technology,,,,,,,,,,,
29,Engineering and engineering trades,Mechanical Engineering,AL710,223,,,,223,,337,7,Athlone Institute of Technology,,,,,,,,,,,
30,Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,228,,,,228,,369,7,Athlone Institute of Technology,,,,,,,,,,,
31,Engineering and engineering trades,Automation and Robotics,AL712,252,,,,252,,379,7,Athlone Institute of Technology,,,,,,,,,,,
32,Engineering and engineering trades,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),AL713,218,,,,218,,402,7,Athlone Institute of Technology,,,,,,,,,,,
33,Engineering and engineering trades,Music and Sound Engineering,AL718,214,,,,216,,339,7,Athlone Institute of Technology,,,,,,,,,,,
34,Architecture and construction,Civil Engineering,AL721,233,,,,233,,357,7,Athlone Institute of Technology,,,,,,,,,,,
35,Biological and related sciences,Biotechnology,AL730,250,,,,250,,402,7,Athlone Institute of Technology,,,,,,,,,,,
36,Veterinary,Veterinary Nursing,AL731,400,,,,400,,456,7,Athlone Institute of Technology,,,,,,,,,,,
37,Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,,,,244,,359,7,Athlone Institute of Technology,,,,,,,,,,,
38,Personal services,Exercise and Health Science,AL740,250,,,,250,,367,7,Athlone Institute of Technology,,,,,,,,,,,
