,Course Code,Title,EOS,Mid
0,Course Code INSTITUTION and COURSE,,EOS,Mid
1,,Athlone Institute of Technology,,
2,AL801,Software Design with Virtual Reality and Gaming,304,328
3,AL802,Software Design with Cloud Computing,301,306
4,AL803,Software Design with Mobile Apps and Connected Devices,309,337
5,AL805,Network Management and Cloud Infrastructure,329,442
6,AL810,Quantity Surveying,307,349
7,AL820,Mechanical and Polymer Engineering,300,358
8,AL830,General Nursing,410,429
9,AL832,Psychiatric Nursing,387,403
10,AL836,Nutrition and Health Science,352,383
11,AL837,Sports Science with Exercise Physiology,351,392
12,AL838,Biotechnology,302,372
13,AL839,Microbiology,322,371
14,AL840,Pharmaceutical Sciences,328,411
15,AL841,Athletic and Rehabilitation Therapy,423,430
16,AL842,Bioveterinary Science,310,366
17,AL843,Physical Activity and Health Science,310,330
18,AL850,Business,307,356
19,AL851,Business and Law,301,341
20,AL852,Accounting (with optional placement),290,346
21,AL853,Accounting and Law,305,320
22,AL855,Hospitality Management (with International placement),312,357
23,AL857,Digital Marketing,300,360
24,AL860,Social Care Practice,309,338
25,AL861,Animation and Illustration (portfolio),#615,899
26,AL863,Graphic and Digital Design (portfolio),#703,898
27,AL864,Early Years Care and Education,307,348
28,AL870,Applied Psychology,409,445
29,,"Institute of Technology, Carlow",,
30,CW018,"Business (options, Wexford)",327,349
31,CW028,Early Childhood Education and Care (Wexford),252,308
32,CW038,"Art (portfolio, Wexford)",#700,700
33,CW058,Tourism and Event Management (Wexford),252,262
34,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280
35,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320
36,CW088,Visual Communications and Design (Wexford),309,345
37,CW108,Science (options),261,326
38,CW128,Brewing and Distilling,271,298
39,CW178,Sport Science (options),399,424
40,CW188,Sport Rehabilitation and Athletic Therapy,454,473
41,CW208,Computer Games Development,281,338
42,CW238,Software Development,300,343
43,CW248,Information Technology Management,307,357
0,TR039,Computer Science and Language,435,498.0
1,TR040,Middle Eastern and European Languages and Cultures,485,518.0
2,TR041,Religion,347,393.0
3,TR051,Medicine (HPAT required),#730,739.0
4,TR052,Dental Science,590*,602.0
5,TR053,Physiotherapy,533*,544.0
6,TR054,Occupational Therapy,500,520.0
7,TR055,Radiation Therapy,510,521.0
8,TR056,Human Health and Disease,543,565.0
9,TR060,Biological and Biomedical Sciences,510*,542.0
10,TR061,Chemical Sciences,488*,520.0
11,TR062,Geography and Geoscience,435,485.0
12,TR063,Physical Sciences,498*,543.0
13,TR072,Pharmacy,555*,577.0
14,TR080,Global Business,565,577.0
15,TR081,"Business, Economic and Social Studies (BESS)",518*,542.0
16,TR082,Computer Science and Business,510,542.0
17,TR083,Sociology and Social Policy,451,474.0
18,TR084,Social Studies (Social Work),420*,462.0
19,TR085,Business Studies and French,509,553.0
20,TR086,Business Studies and German,474,495.0
21,TR087,Business Studies and Russian,467,487.0
22,TR089,Business Studies and Polish,393,434.0
23,TR090,Business Studies and Spanish,510,543.0
24,TR091,General Nursing (Meath and St James`s),393*,420.0
25,TR093,General Nursing (Adelaide School of Nursing),#378*,409.0
26,TR095,Mental Health Nursing,358,377.0
27,TR097,Intellectual Disability Nursing,346,350.0
28,TR911,Children`s and General Nursing (Integrated),476*,487.0
29,TR913,Midwifery,423,462.0
30,,University College Dublin (NUI),,
31,DN100,Architecture,473,509.0
32,DN120,Landscape Architecture,353,403.0
33,DN130,City Planning and Environmental Policy,367,421.0
